Lote,FechaInicioPlantacion,FechaFinPlantacion,Precipitacion_mm (400-1000),Temperatura_C (18-28),Humedad_porcentaje (50-90),HorasSol_dia (12-13),Altitud_msnm (0-3200),CostoTotal_USD (3000-5000),Produccion_qt (400-500),Produccion_kg (40000-50000),Fertilizante_NPK (N-P-K),ModoRiego (Aspersion/Goteo/Gravedad),Riego_Etapa1_mm (20-50),Riego_Etapa2_mm (30-60),Riego_Etapa3_mm (40-70),DistanciaMecanizacion_m (10-50),DistanciaSiembra_m (0.5-1.0),TipoSuelo (Arenoso/Arcilloso/Franco),pH_Suelo (5.5-7.5)
9080,5002-11-24,5003-03-24,924.11,21.65,59.76,12.69,514.57,3757.86,496.09,48512.0,N-18 P-20 K-20,Aspersion,26.31,35.33,47.72,45.94,1.0,Arcilloso,6.3
9081,5003-03-24,5003-07-22,702.98,18.54,60.12,12.3,2430.03,4089.61,447.04,43025.0,N-18 P-20 K-19,Gravedad,20.53,51.97,51.11,12.37,0.9,Arcilloso,5.8
9082,5003-07-22,5003-11-19,652.14,18.66,53.56,12.91,798.79,4349.91,479.16,46290.0,N-15 P-16 K-16,Goteo,31.1,43.61,60.56,44.98,0.7,Franco,6.1
9083,5003-11-19,5004-03-18,710.27,19.74,82.94,12.94,2458.9,3259.0,474.68,49572.0,N-14 P-19 K-13,Gravedad,49.54,51.68,45.9,30.6,0.9,Arcilloso,6.6
9084,5004-03-18,5004-07-16,505.68,18.45,69.82,12.71,1077.93,3974.12,427.78,48046.0,N-15 P-20 K-20,Aspersion,35.56,45.03,45.74,12.55,0.7,Arenoso,5.6
9085,5004-07-16,5004-11-13,817.46,23.17,78.42,12.0,2813.38,4246.66,430.84,43537.0,N-15 P-17 K-18,Goteo,25.32,37.71,65.54,30.66,0.8,Arenoso,5.7
9086,5004-11-13,5005-03-13,724.93,18.43,61.97,12.89,1244.44,3329.29,414.51,42134.0,N-13 P-20 K-12,Gravedad,40.58,56.94,45.78,31.46,0.6,Arcilloso,6.8
9087,5005-03-13,5005-07-11,912.31,24.47,75.99,12.28,132.19,3742.82,441.6,47351.0,N-19 P-18 K-13,Aspersion,24.37,30.07,62.57,37.85,0.8,Arcilloso,6.4
9088,5005-07-11,5005-11-08,420.31,24.28,65.72,12.7,876.78,4318.82,422.4,44822.0,N-19 P-19 K-14,Goteo,39.16,55.64,43.38,23.63,0.6,Arcilloso,7.4
9089,5005-11-08,5006-03-08,440.07,18.84,62.88,12.6,1330.2,3236.62,476.94,40240.0,N-18 P-19 K-16,Goteo,36.26,54.18,45.29,12.03,1.0,Franco,7.2
9090,5006-03-08,5006-07-06,990.45,26.03,60.05,12.21,1642.51,3451.05,419.06,45572.0,N-14 P-18 K-14,Gravedad,42.05,59.59,55.17,24.8,0.6,Arenoso,6.8
9091,5006-07-06,5006-11-03,911.89,18.39,78.22,12.12,1558.22,3750.34,402.19,45324.0,N-13 P-14 K-19,Gravedad,33.78,47.46,66.36,15.76,1.0,Arenoso,6.7
9092,5006-11-03,5007-03-03,904.13,22.52,65.02,12.05,1826.57,4243.99,410.78,40598.0,N-11 P-10 K-15,Gravedad,49.88,44.17,41.23,18.4,0.6,Arenoso,5.8
9093,5007-03-03,5007-07-01,964.13,20.41,75.26,12.95,79.35,4471.51,448.23,40475.0,N-12 P-10 K-15,Gravedad,44.03,58.03,60.18,41.0,0.9,Franco,7.4
9094,5007-07-01,5007-10-29,608.26,20.42,80.89,12.23,1678.98,3170.21,487.33,41787.0,N-14 P-16 K-11,Goteo,20.99,58.32,65.1,32.73,0.7,Arcilloso,7.2
9095,5007-10-29,5008-02-26,883.41,24.06,58.25,12.8,2535.79,3069.83,403.25,49292.0,N-10 P-19 K-11,Aspersion,44.42,58.8,58.56,35.95,0.9,Franco,6.9
9096,5008-02-26,5008-06-25,518.59,20.21,52.84,12.9,2402.28,3785.87,480.82,47619.0,N-19 P-19 K-16,Gravedad,46.4,48.04,68.37,11.98,0.9,Arcilloso,6.8
9097,5008-06-25,5008-10-23,704.65,25.36,70.52,12.2,929.5,3045.85,476.35,44344.0,N-14 P-17 K-15,Goteo,32.51,35.41,58.75,44.11,0.9,Arenoso,6.8
9098,5008-10-23,5009-02-20,647.11,26.31,53.26,12.54,144.03,3787.67,422.21,41259.0,N-18 P-12 K-17,Goteo,26.83,30.48,41.33,15.51,0.8,Arcilloso,7.4
9099,5009-02-20,5009-06-20,891.78,25.45,89.81,12.3,536.72,4128.67,478.44,44696.0,N-12 P-15 K-13,Aspersion,22.98,45.09,61.71,22.09,0.6,Arenoso,7.0
9100,5009-06-20,5009-10-18,957.44,20.12,83.89,12.71,1749.58,3994.91,428.3,43842.0,N-12 P-10 K-15,Aspersion,30.16,59.54,64.09,16.21,0.9,Arenoso,6.5
9101,5009-10-18,5010-02-15,472.78,26.77,87.5,12.27,3044.89,3576.66,447.4,49366.0,N-11 P-16 K-18,Gravedad,28.86,57.42,62.38,43.85,0.6,Arcilloso,6.2
9102,5010-02-15,5010-06-15,757.7,25.92,54.49,12.37,307.3,3189.71,401.7,48830.0,N-14 P-12 K-17,Goteo,30.49,30.97,59.64,20.91,1.0,Arenoso,7.1
9103,5010-06-15,5010-10-13,666.1,24.73,80.28,12.37,2450.64,3129.75,436.14,42850.0,N-20 P-14 K-14,Goteo,39.52,33.11,68.89,36.24,0.9,Arcilloso,7.1
9104,5010-10-13,5011-02-10,514.57,19.99,65.44,12.53,3058.2,3553.51,415.68,40050.0,N-20 P-18 K-13,Gravedad,34.25,36.64,63.39,47.75,0.8,Arcilloso,7.0
9105,5011-02-10,5011-06-10,780.23,25.03,56.72,12.52,2338.87,4968.09,477.94,42458.0,N-19 P-15 K-14,Goteo,34.63,51.85,52.64,26.61,0.5,Arenoso,6.9
9106,5011-06-10,5011-10-08,730.98,24.35,82.9,12.51,2168.31,4280.01,412.58,48975.0,N-18 P-18 K-18,Gravedad,25.55,48.4,43.75,38.14,0.9,Arcilloso,5.9
9107,5011-10-08,5012-02-05,897.75,20.18,72.49,12.41,3148.9,4028.54,440.03,41154.0,N-16 P-16 K-12,Gravedad,47.75,36.57,49.22,11.97,0.5,Franco,6.1
9108,5012-02-05,5012-06-04,876.23,22.26,57.31,12.8,3035.52,4361.44,456.87,43933.0,N-12 P-14 K-16,Gravedad,37.36,56.85,66.86,11.49,0.5,Arcilloso,6.3
9109,5012-06-04,5012-10-02,702.04,19.22,64.27,12.31,1323.17,4839.18,415.98,46525.0,N-10 P-13 K-13,Aspersion,28.92,37.62,44.6,31.86,0.8,Arenoso,7.3
9110,5012-10-02,5013-01-30,513.19,27.96,50.41,12.9,2738.16,3662.94,430.49,44589.0,N-18 P-20 K-20,Aspersion,32.75,55.16,46.73,17.0,0.5,Arenoso,5.5
9111,5013-01-30,5013-05-30,475.41,18.95,85.1,12.24,1524.74,4319.75,479.98,48962.0,N-12 P-13 K-18,Aspersion,38.81,41.5,56.29,13.85,0.7,Arenoso,6.5
9112,5013-05-30,5013-09-27,703.15,20.4,56.39,12.34,173.1,4063.82,435.56,41545.0,N-15 P-17 K-19,Goteo,28.89,46.41,57.46,38.56,1.0,Arcilloso,6.1
9113,5013-09-27,5014-01-25,441.04,26.21,60.29,12.35,2339.19,3489.35,469.52,45508.0,N-17 P-20 K-14,Goteo,44.77,38.73,53.84,39.06,0.6,Arcilloso,5.6
9114,5014-01-25,5014-05-25,503.22,21.99,66.92,12.16,591.51,4521.56,411.55,44159.0,N-12 P-10 K-15,Gravedad,42.32,36.54,61.13,23.26,0.7,Arenoso,6.8
9115,5014-05-25,5014-09-22,519.5,19.24,89.66,12.9,1942.0,4571.35,428.35,46275.0,N-16 P-17 K-14,Gravedad,42.8,59.32,47.83,49.44,1.0,Arenoso,6.7
9116,5014-09-22,5015-01-20,448.62,22.23,63.22,12.31,2820.19,3384.7,416.84,47762.0,N-10 P-14 K-17,Aspersion,42.64,57.62,53.38,25.41,0.5,Arcilloso,5.9
9117,5015-01-20,5015-05-20,904.54,22.62,58.33,12.91,2562.98,3086.34,429.51,46893.0,N-12 P-20 K-20,Aspersion,26.45,42.02,55.65,27.17,0.8,Arcilloso,7.4
9118,5015-05-20,5015-09-17,487.56,23.12,81.63,12.89,2461.96,3355.48,416.27,43908.0,N-16 P-13 K-14,Gravedad,44.67,51.9,58.27,26.75,1.0,Arcilloso,6.7
9119,5015-09-17,5016-01-15,551.59,27.58,55.36,12.47,3161.56,4410.62,439.89,47317.0,N-19 P-15 K-18,Goteo,46.98,54.12,44.24,27.76,0.5,Arenoso,6.3
9120,5016-01-15,5016-05-14,933.53,18.26,56.65,12.77,187.11,4752.1,436.23,48784.0,N-10 P-20 K-17,Gravedad,26.79,37.95,68.28,23.26,0.9,Franco,5.7
9121,5016-05-14,5016-09-11,462.83,18.71,86.85,12.67,369.72,3045.47,464.01,41993.0,N-17 P-19 K-18,Gravedad,45.65,46.29,68.87,38.87,0.7,Franco,7.2
9122,5016-09-11,5017-01-09,968.32,21.76,89.75,12.47,1666.52,4384.87,490.02,48926.0,N-13 P-12 K-19,Goteo,42.2,34.21,48.2,39.02,0.9,Arcilloso,6.7
9123,5017-01-09,5017-05-09,562.52,20.81,82.67,12.54,1006.8,3624.66,450.82,41081.0,N-14 P-10 K-18,Goteo,22.27,55.56,50.23,27.57,0.8,Arenoso,6.8
9124,5017-05-09,5017-09-06,714.22,24.76,77.9,12.95,843.76,3782.65,429.86,42773.0,N-17 P-20 K-15,Aspersion,28.94,30.06,68.89,42.46,0.9,Arcilloso,7.1
9125,5017-09-06,5018-01-04,875.02,18.41,53.43,12.69,510.75,3325.26,402.4,47639.0,N-18 P-19 K-17,Gravedad,28.58,57.99,59.47,42.8,0.8,Franco,6.8
9126,5018-01-04,5018-05-04,636.33,20.46,80.5,12.82,2292.65,4880.55,463.1,41782.0,N-10 P-15 K-13,Gravedad,35.08,54.59,58.36,13.22,1.0,Arenoso,6.4
9127,5018-05-04,5018-09-01,456.36,20.84,58.99,12.74,2717.7,4747.31,490.42,46999.0,N-16 P-20 K-10,Aspersion,44.57,39.22,69.27,13.04,0.7,Franco,6.1
9128,5018-09-01,5018-12-30,739.86,20.67,66.61,12.5,1385.61,4831.07,409.76,42202.0,N-20 P-17 K-11,Gravedad,29.74,54.97,48.64,48.76,0.9,Franco,7.1
9129,5018-12-30,5019-04-29,863.0,18.1,58.46,12.72,2298.82,3637.66,422.68,43852.0,N-20 P-20 K-19,Goteo,49.41,47.43,42.16,49.8,0.9,Arcilloso,7.1
9130,5019-04-29,5019-08-27,971.54,19.84,75.88,12.29,538.91,3257.18,456.54,49209.0,N-13 P-17 K-18,Goteo,22.73,34.48,40.45,49.51,0.5,Arcilloso,6.5
9131,5019-08-27,5019-12-25,623.88,19.88,66.99,12.9,1722.08,4781.19,484.48,46382.0,N-20 P-13 K-12,Gravedad,23.1,43.64,42.68,28.16,0.7,Arenoso,7.0
9132,5019-12-25,5020-04-23,567.89,19.74,65.43,12.64,1553.49,4172.63,408.07,46472.0,N-11 P-19 K-12,Goteo,38.91,31.28,51.14,37.05,0.9,Arcilloso,7.3
9133,5020-04-23,5020-08-21,639.56,24.06,60.4,12.02,2988.13,4831.48,431.89,48405.0,N-20 P-18 K-14,Goteo,34.57,43.11,54.21,37.08,0.6,Franco,6.6
9134,5020-08-21,5020-12-19,558.19,23.64,87.55,12.25,506.81,4066.51,414.85,42049.0,N-14 P-20 K-11,Goteo,26.39,53.56,49.61,26.48,0.9,Franco,6.5
9135,5020-12-19,5021-04-18,838.65,25.8,78.48,12.06,217.55,4536.28,476.06,48298.0,N-17 P-16 K-13,Gravedad,48.89,56.21,42.93,36.98,0.6,Franco,6.0
9136,5021-04-18,5021-08-16,569.76,25.18,59.52,12.44,2644.35,3076.4,415.65,46674.0,N-14 P-13 K-12,Gravedad,27.54,31.77,45.21,33.82,0.8,Arenoso,6.8
9137,5021-08-16,5021-12-14,809.85,23.05,63.61,12.69,2037.46,4573.99,446.39,43674.0,N-18 P-10 K-11,Gravedad,35.23,54.98,50.35,40.17,0.6,Arenoso,5.8
9138,5021-12-14,5022-04-13,630.32,26.92,76.21,12.7,1145.78,3515.85,494.93,43398.0,N-11 P-16 K-10,Goteo,28.12,55.52,60.81,17.65,0.9,Arenoso,6.7
9139,5022-04-13,5022-08-11,707.13,23.71,52.24,12.37,3124.08,4968.23,478.64,43564.0,N-10 P-12 K-10,Gravedad,20.56,31.11,57.41,22.63,0.7,Arcilloso,7.0
9140,5022-08-11,5022-12-09,506.23,21.11,59.14,12.34,361.48,4679.17,478.47,48712.0,N-13 P-15 K-15,Gravedad,25.1,43.31,47.57,37.98,0.9,Franco,5.9
9141,5022-12-09,5023-04-08,726.3,23.38,59.39,12.32,2861.68,4504.01,460.44,43296.0,N-17 P-17 K-15,Goteo,39.2,31.75,55.1,36.9,0.9,Arenoso,6.5
9142,5023-04-08,5023-08-06,986.47,26.87,63.28,12.65,2304.55,4264.78,434.03,42407.0,N-16 P-19 K-13,Gravedad,41.09,57.68,52.46,35.74,0.6,Arcilloso,6.6
9143,5023-08-06,5023-12-04,430.62,27.3,70.43,12.29,94.44,4855.19,473.02,48135.0,N-10 P-13 K-12,Goteo,20.62,56.03,41.91,43.82,0.8,Arenoso,7.4
9144,5023-12-04,5024-04-02,881.15,18.85,82.98,12.66,338.76,4427.73,440.76,49641.0,N-18 P-11 K-16,Goteo,39.1,33.54,58.17,35.85,0.8,Arenoso,6.7
9145,5024-04-02,5024-07-31,996.68,22.93,89.51,12.75,245.35,4054.43,446.13,48423.0,N-10 P-12 K-11,Gravedad,42.51,35.99,47.38,47.23,0.5,Arenoso,7.4
9146,5024-07-31,5024-11-28,428.92,19.07,71.6,12.8,2116.91,3595.09,477.65,46918.0,N-19 P-15 K-15,Gravedad,29.24,31.15,56.4,43.21,0.6,Arcilloso,6.8
9147,5024-11-28,5025-03-28,716.8,23.56,66.43,12.36,1061.18,4818.97,414.1,45873.0,N-20 P-17 K-10,Goteo,34.59,44.87,56.71,41.28,0.8,Arenoso,5.8
9148,5025-03-28,5025-07-26,628.33,21.55,50.46,12.57,412.36,4547.04,402.68,45489.0,N-20 P-13 K-16,Goteo,22.75,34.59,66.15,42.3,0.5,Arenoso,6.2
9149,5025-07-26,5025-11-23,646.63,21.06,82.13,12.01,2969.14,4710.37,407.57,48080.0,N-16 P-12 K-12,Goteo,23.41,51.9,66.77,17.53,1.0,Arcilloso,5.8
9150,5025-11-23,5026-03-23,876.69,19.98,67.63,12.61,2026.48,3842.01,475.18,40712.0,N-12 P-11 K-14,Goteo,43.99,57.02,63.92,48.59,0.9,Arcilloso,7.0
9151,5026-03-23,5026-07-21,771.57,26.87,60.58,12.18,2329.46,3089.54,460.51,45268.0,N-15 P-14 K-10,Gravedad,48.72,43.65,46.83,16.94,0.6,Franco,7.2
9152,5026-07-21,5026-11-18,732.17,22.07,56.48,12.69,2833.67,3977.63,454.44,45516.0,N-13 P-15 K-16,Aspersion,30.47,38.92,55.23,12.7,0.7,Arcilloso,7.2
9153,5026-11-18,5027-03-18,723.52,19.56,59.76,12.22,3134.28,3850.36,406.31,49630.0,N-12 P-20 K-11,Aspersion,22.41,42.61,53.24,49.98,0.9,Franco,6.7
9154,5027-03-18,5027-07-16,584.08,20.87,62.0,12.72,1946.51,3916.6,466.84,43629.0,N-14 P-10 K-18,Goteo,43.75,38.47,65.41,35.99,0.6,Arcilloso,6.4
9155,5027-07-16,5027-11-13,448.16,21.75,63.28,12.46,1540.95,3389.87,440.99,41690.0,N-16 P-10 K-13,Aspersion,44.1,54.17,40.76,23.57,0.9,Arcilloso,6.0
9156,5027-11-13,5028-03-12,943.95,22.22,69.28,12.01,1200.59,3174.07,483.33,48886.0,N-20 P-17 K-19,Aspersion,28.58,51.55,53.87,48.61,0.6,Arenoso,7.5
9157,5028-03-12,5028-07-10,730.56,18.64,86.45,12.21,1725.52,3689.18,403.98,44715.0,N-10 P-11 K-16,Goteo,22.45,52.41,57.32,49.31,0.6,Arcilloso,7.0
9158,5028-07-10,5028-11-07,414.15,20.4,51.76,12.31,1873.81,4678.65,471.14,46340.0,N-16 P-15 K-20,Goteo,25.53,57.7,45.43,14.13,0.7,Arcilloso,6.1
9159,5028-11-07,5029-03-07,828.81,27.21,81.91,12.1,1131.95,4866.28,492.21,49853.0,N-10 P-15 K-15,Gravedad,28.06,37.81,53.32,47.32,0.6,Arenoso,6.0
9160,5029-03-07,5029-07-05,731.88,25.49,76.59,13.0,892.95,3713.14,499.47,40719.0,N-17 P-20 K-11,Goteo,22.4,32.63,50.85,10.83,0.5,Franco,7.5
9161,5029-07-05,5029-11-02,627.97,24.99,73.16,12.04,2464.28,4769.14,423.44,43563.0,N-17 P-14 K-13,Aspersion,33.19,46.27,51.8,47.87,1.0,Arenoso,7.1
9162,5029-11-02,5030-03-02,761.44,18.51,65.15,12.45,1990.17,4337.43,453.07,47631.0,N-14 P-13 K-12,Aspersion,42.21,41.23,59.54,37.56,0.6,Franco,6.4
9163,5030-03-02,5030-06-30,520.49,27.18,74.94,12.75,1076.22,3228.0,445.74,40032.0,N-20 P-20 K-17,Goteo,27.26,34.16,65.61,37.23,0.7,Arcilloso,6.7
9164,5030-06-30,5030-10-28,522.35,18.54,79.33,12.92,2884.35,4877.74,486.88,41686.0,N-10 P-15 K-19,Gravedad,46.17,52.22,61.43,33.69,0.9,Arenoso,6.0
9165,5030-10-28,5031-02-25,490.76,25.27,83.88,12.31,0.35,4283.57,478.63,44658.0,N-19 P-10 K-20,Aspersion,43.43,47.26,66.71,27.58,0.9,Arenoso,6.5
9166,5031-02-25,5031-06-25,636.67,26.22,55.64,12.35,2212.6,3881.61,442.32,44998.0,N-13 P-18 K-18,Goteo,46.34,40.52,46.47,12.9,0.9,Arenoso,7.5
9167,5031-06-25,5031-10-23,907.98,19.34,57.66,12.56,850.56,4357.59,439.87,48485.0,N-18 P-19 K-20,Gravedad,40.73,33.4,63.05,14.7,0.8,Arcilloso,5.6
9168,5031-10-23,5032-02-20,670.25,18.13,68.74,12.15,2853.92,3414.19,474.3,40540.0,N-18 P-14 K-17,Aspersion,26.73,55.41,41.66,26.07,0.8,Franco,5.6
9169,5032-02-20,5032-06-19,961.73,26.03,78.9,12.46,2742.33,3899.08,455.33,40948.0,N-17 P-20 K-10,Gravedad,45.04,59.14,62.81,18.35,0.5,Franco,7.4
9170,5032-06-19,5032-10-17,716.14,25.68,76.71,12.83,2809.63,3331.54,450.88,41662.0,N-14 P-17 K-19,Gravedad,23.91,38.97,61.75,40.47,0.6,Arenoso,5.7
9171,5032-10-17,5033-02-14,816.41,25.74,86.28,12.17,1835.49,4178.76,400.53,48250.0,N-10 P-16 K-12,Goteo,43.47,41.08,67.69,33.89,0.8,Arenoso,6.2
9172,5033-02-14,5033-06-14,977.71,24.46,88.35,12.06,751.99,3897.65,485.35,42619.0,N-12 P-17 K-14,Aspersion,28.02,46.08,48.08,26.12,0.7,Franco,6.2
9173,5033-06-14,5033-10-12,680.69,20.3,62.75,12.79,1798.89,4801.35,467.0,47585.0,N-20 P-12 K-17,Gravedad,38.53,47.76,42.69,35.08,0.9,Franco,6.9
9174,5033-10-12,5034-02-09,847.48,25.82,73.63,12.04,2403.89,3831.37,457.16,49881.0,N-18 P-18 K-10,Gravedad,39.78,52.95,50.22,31.36,0.8,Franco,6.3
9175,5034-02-09,5034-06-09,882.27,19.76,77.07,12.85,497.16,3309.71,447.92,46029.0,N-15 P-10 K-10,Gravedad,30.5,41.91,41.71,13.89,0.6,Arcilloso,5.5
9176,5034-06-09,5034-10-07,430.34,27.09,80.36,12.35,2173.12,3548.2,454.39,42965.0,N-19 P-19 K-18,Gravedad,45.02,34.61,67.97,38.1,0.8,Arcilloso,6.3
9177,5034-10-07,5035-02-04,404.33,21.15,71.43,12.52,2084.88,4923.31,402.92,44491.0,N-14 P-14 K-20,Goteo,39.11,51.42,50.83,15.75,0.6,Franco,7.1
9178,5035-02-04,5035-06-04,509.81,18.22,79.76,12.52,784.92,3444.08,434.75,42312.0,N-13 P-11 K-14,Aspersion,43.72,33.38,60.52,18.84,0.9,Arenoso,6.8
9179,5035-06-04,5035-10-02,817.56,23.22,71.78,12.18,772.92,4669.18,436.15,46114.0,N-17 P-13 K-14,Goteo,32.8,31.0,55.79,30.24,0.7,Franco,5.6
9180,5035-10-02,5036-01-30,448.64,20.23,62.01,12.13,2231.07,3980.51,482.29,47675.0,N-15 P-10 K-16,Goteo,39.59,34.61,41.84,12.8,0.8,Franco,6.4
9181,5036-01-30,5036-05-29,409.26,20.92,57.07,12.83,656.03,4347.71,457.56,47965.0,N-13 P-16 K-17,Gravedad,33.98,34.75,60.36,13.86,0.9,Arenoso,6.8
9182,5036-05-29,5036-09-26,934.71,27.23,58.2,12.16,463.36,3498.48,408.49,48508.0,N-18 P-20 K-11,Goteo,31.34,59.56,63.22,30.97,0.9,Arcilloso,6.4
9183,5036-09-26,5037-01-24,846.83,19.2,82.7,12.4,1435.98,4451.51,484.74,42258.0,N-17 P-12 K-19,Aspersion,31.67,33.06,64.47,32.22,0.8,Arcilloso,5.7
9184,5037-01-24,5037-05-24,965.71,23.0,61.25,12.27,216.54,4985.07,460.41,42932.0,N-14 P-13 K-18,Aspersion,49.04,54.56,67.34,49.87,0.5,Franco,7.5
9185,5037-05-24,5037-09-21,596.57,19.46,81.26,12.53,1884.15,4031.69,404.7,43770.0,N-12 P-12 K-12,Goteo,48.51,52.58,63.49,29.56,0.7,Franco,5.6
9186,5037-09-21,5038-01-19,796.71,20.04,81.67,12.93,225.91,4443.62,431.73,41955.0,N-14 P-13 K-18,Gravedad,25.24,55.36,69.04,20.14,0.6,Arenoso,6.4
9187,5038-01-19,5038-05-19,585.09,20.2,83.8,13.0,2420.26,4240.18,420.17,41913.0,N-13 P-19 K-20,Goteo,44.56,46.99,52.57,46.17,0.7,Arcilloso,6.6
9188,5038-05-19,5038-09-16,599.94,24.25,55.74,12.38,2761.34,3648.8,443.05,47077.0,N-20 P-16 K-20,Aspersion,42.4,36.36,64.09,26.84,0.8,Arenoso,6.9
9189,5038-09-16,5039-01-14,921.95,27.89,61.89,12.84,3141.55,4372.29,423.08,41729.0,N-12 P-17 K-20,Gravedad,38.58,42.93,63.72,16.08,0.8,Arenoso,6.3
9190,5039-01-14,5039-05-14,885.64,22.08,80.43,12.78,1295.38,4764.83,470.13,47147.0,N-17 P-12 K-20,Aspersion,40.66,31.72,43.92,16.47,0.8,Arenoso,6.2
9191,5039-05-14,5039-09-11,698.41,20.47,56.74,12.49,691.04,4298.18,461.73,48327.0,N-10 P-17 K-17,Aspersion,43.78,39.87,46.5,48.73,1.0,Franco,5.7
9192,5039-09-11,5040-01-09,508.6,21.22,66.1,12.67,1147.68,3826.73,420.48,43111.0,N-19 P-20 K-10,Goteo,23.51,49.14,52.76,36.66,0.7,Arenoso,7.1
9193,5040-01-09,5040-05-08,945.59,18.29,63.14,12.94,1116.82,4753.68,449.05,41200.0,N-15 P-11 K-17,Aspersion,26.97,50.27,54.5,34.89,0.9,Franco,6.6
9194,5040-05-08,5040-09-05,670.0,23.99,80.82,12.88,1328.15,3675.41,427.06,45467.0,N-18 P-14 K-18,Gravedad,28.11,37.43,47.28,43.53,0.8,Arcilloso,6.7
9195,5040-09-05,5041-01-03,648.53,19.74,60.3,12.38,1845.45,4372.78,423.2,40053.0,N-14 P-19 K-14,Gravedad,43.29,43.91,63.55,32.03,0.6,Arenoso,6.7
9196,5041-01-03,5041-05-03,639.21,27.32,71.78,12.62,755.21,3328.79,455.33,45309.0,N-10 P-11 K-17,Gravedad,39.27,55.49,65.93,48.99,0.6,Franco,6.0
9197,5041-05-03,5041-08-31,566.41,22.4,83.82,12.91,1951.64,4260.04,475.05,44731.0,N-19 P-19 K-11,Gravedad,24.16,45.97,56.27,41.91,0.7,Franco,6.0
9198,5041-08-31,5041-12-29,865.51,20.62,62.79,12.67,1492.51,3901.83,446.21,44808.0,N-15 P-20 K-10,Gravedad,45.47,39.35,40.89,12.39,0.6,Arenoso,5.6
9199,5041-12-29,5042-04-28,651.4,19.88,66.87,12.75,3171.74,3294.81,499.1,47900.0,N-13 P-20 K-18,Goteo,35.68,31.68,52.98,49.81,0.9,Arenoso,5.7
9200,5042-04-28,5042-08-26,503.5,23.57,53.08,12.35,681.66,4532.14,476.47,49357.0,N-18 P-14 K-15,Aspersion,34.65,54.82,44.97,48.63,0.7,Arcilloso,7.0
9201,5042-08-26,5042-12-24,968.82,27.17,55.61,12.24,2346.71,4769.4,483.04,45341.0,N-11 P-13 K-16,Aspersion,20.69,59.52,69.53,34.97,0.8,Arenoso,6.9
9202,5042-12-24,5043-04-23,523.33,26.66,80.1,12.19,3044.31,4287.57,460.77,47104.0,N-18 P-17 K-14,Gravedad,41.47,36.3,41.17,37.89,1.0,Arcilloso,6.9
9203,5043-04-23,5043-08-21,750.73,21.5,51.64,12.6,2503.67,3465.78,472.13,40791.0,N-15 P-16 K-19,Goteo,26.99,49.2,57.29,42.03,0.6,Arenoso,7.1
9204,5043-08-21,5043-12-19,893.87,21.75,81.15,12.5,894.27,3418.17,438.17,41234.0,N-17 P-12 K-20,Goteo,48.92,43.85,42.34,13.76,0.9,Arcilloso,5.8
9205,5043-12-19,5044-04-17,848.61,22.08,77.95,12.69,2433.09,3753.85,406.43,49762.0,N-18 P-10 K-20,Aspersion,25.13,42.88,63.29,14.84,0.6,Franco,7.1
9206,5044-04-17,5044-08-15,563.57,22.92,68.75,12.82,1773.56,4613.02,483.67,47650.0,N-11 P-16 K-11,Goteo,38.01,36.22,56.44,18.51,0.8,Franco,6.5
9207,5044-08-15,5044-12-13,773.83,24.51,85.99,12.83,593.46,3302.18,438.58,42935.0,N-11 P-16 K-17,Aspersion,21.23,57.08,48.98,31.93,0.9,Arenoso,6.9
9208,5044-12-13,5045-04-12,965.26,23.2,80.31,12.22,1676.63,3524.09,498.31,49537.0,N-10 P-10 K-10,Aspersion,34.27,46.76,62.8,14.17,0.6,Arenoso,5.7
9209,5045-04-12,5045-08-10,940.73,19.91,89.35,12.91,1638.89,3300.86,405.99,47445.0,N-14 P-18 K-20,Goteo,45.36,43.13,47.05,27.85,1.0,Arenoso,7.0
9210,5045-08-10,5045-12-08,632.08,24.47,53.74,12.21,137.18,4731.94,488.02,43543.0,N-15 P-18 K-15,Goteo,25.42,55.8,62.43,47.34,1.0,Arcilloso,6.7
9211,5045-12-08,5046-04-07,906.65,19.99,84.21,12.13,269.25,3688.61,432.99,47822.0,N-12 P-15 K-11,Aspersion,46.3,43.71,46.55,29.18,0.8,Franco,5.6
9212,5046-04-07,5046-08-05,661.75,27.76,65.59,12.84,1517.97,3685.03,441.68,49139.0,N-19 P-18 K-10,Aspersion,31.67,43.28,54.87,13.6,0.9,Arcilloso,7.1
9213,5046-08-05,5046-12-03,685.97,27.73,86.3,12.11,1772.18,4168.53,475.25,42168.0,N-15 P-12 K-10,Gravedad,40.24,39.93,53.89,38.08,1.0,Arenoso,6.8
9214,5046-12-03,5047-04-02,671.25,27.18,58.75,12.96,2653.8,3756.57,452.27,46691.0,N-10 P-19 K-13,Goteo,40.2,49.78,47.08,15.81,0.6,Franco,6.3
9215,5047-04-02,5047-07-31,440.07,21.51,56.19,12.35,1986.59,4475.95,466.34,44119.0,N-17 P-20 K-11,Aspersion,25.84,57.79,60.99,25.86,0.9,Arenoso,6.0
9216,5047-07-31,5047-11-28,839.47,25.15,75.35,12.6,968.84,4304.23,461.9,43590.0,N-11 P-15 K-16,Goteo,44.29,43.11,52.55,30.44,1.0,Franco,5.6
9217,5047-11-28,5048-03-27,902.13,18.05,77.36,12.98,2524.11,3287.66,417.96,42637.0,N-10 P-20 K-10,Goteo,29.89,48.18,48.03,39.73,0.8,Arenoso,7.2
